t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{\theta}$,0.0005487537709996104
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{Q}_g$,-0.0034488700330257416
0.0,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,V,6.573952850885689e-05
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,0.0002767998375929892
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,2.8437689252314158e-05
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,-0.0001714435056783259
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{\theta}$,0.0005210415692999959
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{Q}_g$,-0.0030032163485884666
0.05,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,V,6.55427502351813e-05
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,0.0005526233580894768
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,5.448977026389912e-05
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,-0.00032160431146621704
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{\theta}$,0.0004946889821439981
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{Q}_g$,-0.0025793882086873055
0.1,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,V,6.534861313411966e-05
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,0.0008284674840979278
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,7.922422082629055e-05
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,-0.0004505737451836467
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{\theta}$,0.0004696342220995575
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{Q}_g$,-0.002176377922296524
0.15000000000000002,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,V,6.51575974188745e-05
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,0.0011043292470276356
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,0.00010270593338645995
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,-0.0005593926180154085
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{\theta}$,0.000445853773271665
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\dot{Q}_g$,-0.0017934194765985012
0.2,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,V,6.497683352790773e-05
0.25,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\Omega$,0.00138020608574152
0.25,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$\theta$,0.00012499862350523472
0.25,61.5,35328141.0,1.225,8.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 8",False,True,False,$Q_g$,-0.0006490636151283979
