t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.25,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.432384543586522e-05
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.002586899558082223
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00014583446318283677
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0006113840499892831
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00039929203921929
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.0002581491135060787
0.30000000000000004,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.406322791008279e-05
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0030179210007190704
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00016579906514380127
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0006242914823815227
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00037849301588721573
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0001861579657997936
0.35000000000000003,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.379578553605825e-05
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0034489440731704235
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00018472371448297054
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0006149836117401719
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00035876751644536853
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0006083176122047007
0.4,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.354297511279583e-05
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0038799659814685583
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.000202662093215622
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0005845677223987877
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00033999927109107375
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0010098409838974476
0.45,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.329023744910955e-05
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.004310983698815107
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.0002196620625909418
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0005340756615623832
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0003221908409614116
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0013913966249674559
