t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0005487537709996104
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0034488700330257416
0.0,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.573952850885689e-05
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.00013135842164047062
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,2.8437689252314158e-05
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0001714435056783259
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0005214689881540835
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.003148759715259075
0.05,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.563141505466774e-05
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.00026174052618443966
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,5.4511139751411974e-05
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.00032888149144127965
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0004955362528562546
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0028634476475417614
0.1,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.552880950039253e-05
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.00039214425487443805
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,7.928795093903318e-05
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0004720538854598999
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0004708762571681291
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0025921324267983437
0.15000000000000002,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.542708433698863e-05
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0005225676577538252
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.00010283176379743963
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0006016605184413493
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0004474339366424829
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.002334136748686433
0.2,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.532945553772151e-05
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0006530088721774518
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.0001252034562639892
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0007183673442341387
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0004251368227414787
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.002088805427774787
0.25,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.5231928601861e-05
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0007834660355001688
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.00014646029740106314
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0008228076039813459
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.000403944228310138
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.001855571405030787
0.30000000000000004,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.51371810818091e-05
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0009139375761151314
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.0001666575117269531
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0009155861916951835
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0003837689582724124
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.001633604639209807
0.35000000000000003,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.504010525532067e-05
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.001044421806000173
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.0001858459581853822
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0009972663829103112
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0003646206168923527
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0014227972133085132
0.4,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.495133857242763e-05
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.001174917328171432
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.00020407699048519135
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0010684062726795673
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0003463737084530294
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0012220466742292047
0.45,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.485634366981685e-05
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0013054225128144026
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.00022139567590784281
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0011295086005702615
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0003290438326075673
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0010313044767826796
0.5,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.476760609075427e-05
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.0014359361957758665
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.00023784786753822118
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0011810738360509276
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.0003125702205579728
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0008499600226059556
0.55,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.468001083703712e-05
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.00156645686365664
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.0002534763771109283
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0012235718313604593
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.00029689096845686436
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{Q}_g$,-0.0006774128996767104
0.6000000000000001,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,V,6.45919717499055e-05
0.65,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\Omega$,0.001696983352303505
0.65,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\theta$,0.0002683209313545376
0.65,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$Q_g$,-0.0012574425200000405
0.65,61.5,35328141.0,1.225,5.5,"R = 61.5, I = 3.53e+07, p = 1.23, V = 5.5",False,True,False,$\dot{\theta}$,0.000282025575870648
