t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.0005487537709996104
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.0034488700330257416
0.0,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.573952850885689e-05
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,3.9784234104445204e-05
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,2.8437689252314158e-05
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.0001714435056783259
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.0005217510042712092
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.0032404763624072075
0.05,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.569057586602867e-05
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,7.85921438364312e-05
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,5.452524055726826e-05
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.00033346732379868627
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.0004961042432114482
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.0030425298027694225
0.1,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.564917566720396e-05
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,0.00011742229980882257
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,7.933044980745763e-05
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.0004855938022956252
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.0004716471303254366
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.002853815210983157
0.15000000000000002,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.559669418493286e-05
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,0.00015627333777956665
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,0.00010291280341334641
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.0006282845861278474
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.0004484242235776037
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.0026745887007564306
0.2,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.555189611390233e-05
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,0.0001951439626282081
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,0.00012533401604741812
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.0007620140095241368
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.000426365586463362
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.0025043508503586054
0.25,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.551281694555655e-05
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,0.00023403293744195253
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,0.00014665229537058622
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.000887231552042067
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{\theta}$,0.00040535215521231294
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\dot{Q}_g$,-0.002342179184779525
0.30000000000000004,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,V,6.546866643475369e-05
0.35000000000000003,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\Omega$,0.00027293909806758165
0.35000000000000003,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$\theta$,0.00016691989731043577
0.35000000000000003,61.5,35328141.0,1.225,3.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 3",False,True,False,$Q_g$,-0.0010043404763564467
